TRIN,Date
13.35344409942627,2023-11-01
13.62443733215332,2023-11-02
13.633782386779785,2023-11-03
13.4562349319458,2023-11-06
13.404839515686035,2023-11-07
13.502957344055176,2023-11-08
13.362789154052734,2023-11-09
13.502957344055176,2023-11-10
13.502957344055176,2023-11-13
13.530991554260254,2023-11-14
13.605749130249023,2023-11-15
13.549680709838867,2023-11-16
13.615092277526855,2023-11-17
13.820674896240234,2023-11-20
13.801984786987305,2023-11-21
13.839364051818848,2023-11-22
14.007566452026367,2023-11-24
13.886086463928223,2023-11-27
13.764605522155762,2023-11-28
13.717884063720703,2023-11-29
13.792640686035156,2023-11-30
13.820674896240234,2023-12-01
13.787968635559082,2023-12-04
13.727227210998535,2023-12-05
13.820674896240234,2023-12-06
13.783295631408691,2023-12-07
13.858053207397461,2023-12-08
13.745917320251465,2023-12-11
13.764605522155762,2023-12-12
13.960843086242676,2023-12-13
13.998221397399902,2023-12-14
14.222492218017578,2023-12-15
14.297248840332031,2023-12-18
14.390695571899414,2023-12-19
14.13839054107666,2023-12-20
14.185113906860352,2023-12-21
14.222492218017578,2023-12-22
14.278559684753418,2023-12-26
14.231836318969727,2023-12-27
14.299469947814941,2023-12-28
14.03860092163086,2023-12-29
14.03860092163086,2024-01-02
14.164204597473145,2024-01-03
14.483043670654297,2024-01-04
14.473381996154785,2024-01-05
14.36710262298584,2024-01-08
14.19318962097168,2024-01-09
14.144881248474121,2024-01-10
14.13521957397461,2024-01-11
14.0579252243042,2024-01-12
13.903336524963379,2024-01-16
13.787394523620605,2024-01-17
13.729423522949219,2024-01-18
13.681114196777344,2024-01-19
13.362274169921875,2024-01-22
13.217348098754883,2024-01-23
13.313965797424316,2024-01-24
13.516863822937012,2024-01-25
13.536187171936035,2024-01-26
13.64246654510498,2024-01-29
13.632804870605469,2024-01-30
13.400921821594238,2024-01-31
13.362274169921875,2024-02-01
13.468554496765137,2024-02-02
13.41058349609375,2024-02-05
13.391260147094727,2024-02-06
13.468554496765137,2024-02-07
13.497540473937988,2024-02-08
13.449231147766113,2024-02-09
13.690775871276855,2024-02-12
13.429906845092773,2024-02-13
13.526525497436523,2024-02-14
13.73908519744873,2024-02-15
13.73908519744873,2024-02-16
13.845364570617676,2024-02-20
13.864688873291016,2024-02-21
13.903336524963379,2024-02-22
13.864688873291016,2024-02-23
13.912997245788574,2024-02-26
13.89367389678955,2024-02-27
13.845364570617676,2024-02-28
14.048262596130371,2024-02-29
13.999953269958496,2024-03-01
14.125556945800781,2024-03-04
13.903336524963379,2024-03-05
14.386425971984863,2024-03-06
14.569999694824219,2024-03-07
14.347779273986816,2024-03-08
14.386425971984863,2024-03-11
14.425073623657227,2024-03-12
14.483043670654297,2024-03-13
14.173866271972656,2024-03-14
14.299469947814941,2024-03-15
14.260822296142578,2024-03-18
14.260822296142578,2024-03-19
14.270484924316406,2024-03-20
14.425073623657227,2024-03-21
14.425073623657227,2024-03-22
14.550677299499512,2024-03-25
14.569999694824219,2024-03-26
14.600000381469727,2024-03-27
14.680000305175781,2024-03-28
14.489999771118164,2024-04-01
14.539999961853027,2024-04-02
14.460000038146973,2024-04-03
14.40999984741211,2024-04-04
14.460000038146973,2024-04-05
14.529999732971191,2024-04-08
14.59000015258789,2024-04-09
