QRVO,Date
118.1500015258789,2020-07-23
111.91999816894531,2020-07-24
115.1500015258789,2020-07-27
113.38999938964844,2020-07-28
115.27999877929688,2020-07-29
128.6699981689453,2020-07-30
128.14999389648438,2020-07-31
133.3249969482422,2020-08-03
131.25,2020-08-04
133.6199951171875,2020-08-05
135.22999572753906,2020-08-06
130.97000122070312,2020-08-07
129.47000122070312,2020-08-10
127.62000274658203,2020-08-11
131.42999267578125,2020-08-12
132.0,2020-08-13
131.67999267578125,2020-08-14
133.80999755859375,2020-08-17
132.61000061035156,2020-08-18
132.4600067138672,2020-08-19
130.72000122070312,2020-08-20
130.6699981689453,2020-08-21
131.94000244140625,2020-08-24
131.97000122070312,2020-08-25
131.50999450683594,2020-08-26
127.13999938964844,2020-08-27
129.3000030517578,2020-08-28
128.27000427246094,2020-08-31
131.47999572753906,2020-09-01
134.6699981689453,2020-09-02
121.44000244140625,2020-09-03
118.88999938964844,2020-09-04
114.11000061035156,2020-09-08
122.70999908447266,2020-09-09
121.45999908447266,2020-09-10
122.95999908447266,2020-09-11
122.83999633789062,2020-09-14
129.99000549316406,2020-09-15
128.8300018310547,2020-09-16
130.3000030517578,2020-09-17
128.02000427246094,2020-09-18
127.55000305175781,2020-09-21
131.2100067138672,2020-09-22
125.7699966430664,2020-09-23
124.98999786376953,2020-09-24
125.62999725341797,2020-09-25
128.42999267578125,2020-09-28
130.77000427246094,2020-09-29
129.00999450683594,2020-09-30
135.08999633789062,2020-10-01
130.57000732421875,2020-10-02
135.3000030517578,2020-10-05
131.0800018310547,2020-10-06
134.63999938964844,2020-10-07
135.41000366210938,2020-10-08
137.8699951171875,2020-10-09
137.75999450683594,2020-10-12
135.1699981689453,2020-10-13
135.14999389648438,2020-10-14
135.9600067138672,2020-10-15
134.75999450683594,2020-10-16
134.5399932861328,2020-10-19
135.64999389648438,2020-10-20
135.25999450683594,2020-10-21
135.0,2020-10-22
135.6999969482422,2020-10-23
134.4499969482422,2020-10-26
131.27999877929688,2020-10-27
124.95999908447266,2020-10-28
129.7100067138672,2020-10-29
127.36000061035156,2020-10-30
127.94000244140625,2020-11-02
128.4600067138672,2020-11-03
133.74000549316406,2020-11-04
146.69000244140625,2020-11-05
147.27000427246094,2020-11-06
149.47999572753906,2020-11-09
140.92999267578125,2020-11-10
148.25,2020-11-11
146.6699981689453,2020-11-12
147.6300048828125,2020-11-13
150.3800048828125,2020-11-16
148.44000244140625,2020-11-17
144.3699951171875,2020-11-18
146.86000061035156,2020-11-19
147.38999938964844,2020-11-20
149.1999969482422,2020-11-23
151.75,2020-11-24
148.24000549316406,2020-11-25
150.11000061035156,2020-11-27
156.67999267578125,2020-11-30
159.77999877929688,2020-12-01
159.5500030517578,2020-12-02
159.1300048828125,2020-12-03
165.35000610351562,2020-12-04
166.94000244140625,2020-12-07
169.9600067138672,2020-12-08
160.3800048828125,2020-12-09
158.3300018310547,2020-12-10
152.63999938964844,2020-12-11
154.50999450683594,2020-12-14
158.47999572753906,2020-12-15
159.0,2020-12-16
159.60000610351562,2020-12-17
162.66000366210938,2020-12-18
161.11000061035156,2020-12-21
163.25999450683594,2020-12-22
165.10000610351562,2020-12-23
167.11000061035156,2020-12-24
166.44000244140625,2020-12-28
163.77000427246094,2020-12-29
167.3699951171875,2020-12-30
166.27000427246094,2020-12-31
164.58999633789062,2021-01-04
169.25,2021-01-05
172.0,2021-01-06
178.57000732421875,2021-01-07
179.39999389648438,2021-01-08
182.75999450683594,2021-01-11
182.32000732421875,2021-01-12
180.07000732421875,2021-01-13
183.94000244140625,2021-01-14
177.2899932861328,2021-01-15
185.6699981689453,2021-01-19
186.02999877929688,2021-01-20
184.1199951171875,2021-01-21
180.66000366210938,2021-01-22
180.9199981689453,2021-01-25
174.94000244140625,2021-01-26
165.63999938964844,2021-01-27
169.8000030517578,2021-01-28
170.8800048828125,2021-01-29
183.3000030517578,2021-02-01
179.3300018310547,2021-02-02
175.9499969482422,2021-02-03
167.69000244140625,2021-02-04
167.13999938964844,2021-02-05
170.75999450683594,2021-02-08
168.85000610351562,2021-02-09
168.1699981689453,2021-02-10
174.64999389648438,2021-02-11
176.0,2021-02-12
177.02999877929688,2021-02-16
174.61000061035156,2021-02-17
171.1300048828125,2021-02-18
179.38999938964844,2021-02-19
172.27999877929688,2021-02-22
172.22000122070312,2021-02-23
179.14999389648438,2021-02-24
168.9499969482422,2021-02-25
174.72999572753906,2021-02-26
182.30999755859375,2021-03-01
177.4499969482422,2021-03-02
171.66000366210938,2021-03-03
165.33999633789062,2021-03-04
171.4199981689453,2021-03-05
162.89999389648438,2021-03-08
170.89999389648438,2021-03-09
165.3699951171875,2021-03-10
