GOLD,Date
3.231214761734009,1988-07-12
3.272374391555786,1988-07-13
3.272374391555786,1988-07-14
3.25179386138916,1988-07-15
3.1900506019592285,1988-07-18
3.272374391555786,1988-07-19
3.25179386138916,1988-07-20
3.272374391555786,1988-07-21
3.210632801055908,1988-07-22
3.10772705078125,1988-07-25
3.10772705078125,1988-07-26
3.0871458053588867,1988-07-27
3.0665643215179443,1988-07-28
3.10772705078125,1988-07-29
3.10772705078125,1988-08-01
3.0459835529327393,1988-08-02
3.0871458053588867,1988-08-03
3.10772705078125,1988-08-04
3.0871458053588867,1988-08-05
3.0665643215179443,1988-08-08
2.984240770339966,1988-08-09
2.9636600017547607,1988-08-10
2.943080186843872,1988-08-11
2.922497034072876,1988-08-12
2.8813352584838867,1988-08-15
2.8401737213134766,1988-08-16
2.8813352584838867,1988-08-17
2.8813352584838867,1988-08-18
2.8401737213134766,1988-08-19
2.8401737213134766,1988-08-22
2.8401737213134766,1988-08-23
