ASML,Date
10.651719093322754,2004-11-08
10.714456558227539,2004-11-09
10.48441219329834,2004-11-10
10.714456558227539,2004-11-11
10.986326217651367,2004-11-12
10.979357719421387,2004-11-15
10.853877067565918,2004-11-16
11.202431678771973,2004-11-17
11.19545841217041,2004-11-18
10.78416633605957,2004-11-19
10.832964897155762,2004-11-22
10.721426010131836,2004-11-23
10.679603576660156,2004-11-24
10.735370635986328,2004-11-26
10.839932441711426,2004-11-29
10.637775421142578,2004-11-30
10.986326217651367,2004-12-01
10.993297576904297,2004-12-02
11.42549991607666,2004-12-03
11.578865051269531,2004-12-06
11.390644073486328,2004-12-07
11.265167236328125,2004-12-08
10.993297576904297,2004-12-09
10.839932441711426,2004-12-10
11.049065589904785,2004-12-13
11.139686584472656,2004-12-14
11.202431678771973,2004-12-15
10.972384452819824,2004-12-16
10.846904754638672,2004-12-17
10.679603576660156,2004-12-20
10.874788284301758,2004-12-21
10.888731956481934,2004-12-22
10.965413093566895,2004-12-23
10.986326217651367,2004-12-27
10.965413093566895,2004-12-28
11.028154373168945,2004-12-29
11.063006401062012,2004-12-30
11.097861289978027,2004-12-31
10.965413093566895,2005-01-03
10.602920532226562,2005-01-04
10.449556350708008,2005-01-05
10.282254219055176,2005-01-06
10.191631317138672,2005-01-07
10.365906715393066,2005-01-10
10.094035148620605,2005-01-11
10.644744873046875,2005-01-12
10.498353004455566,2005-01-13
10.770222663879395,2005-01-14
10.595948219299316,2005-01-18
10.317108154296875,2005-01-19
10.254368782043457,2005-01-20
10.414705276489258,2005-01-21
10.254368782043457,2005-01-24
10.442587852478027,2005-01-25
10.561095237731934,2005-01-26
11.14665699005127,2005-01-27
11.132718086242676,2005-01-28
11.453383445739746,2005-01-31
11.474296569824219,2005-02-01
11.53006649017334,2005-02-02
11.279109001159668,2005-02-03
11.73919677734375,2005-02-04
11.634631156921387,2005-02-07
11.725255012512207,2005-02-08
11.53006649017334,2005-02-09
11.620686531066895,2005-02-10
12.087747573852539,2005-02-11
12.394472122192383,2005-02-14
12.450240135192871,2005-02-15
12.324762344360352,2005-02-16
12.303849220275879,2005-02-17
12.345674514770508,2005-02-18
12.519949913024902,2005-02-22
12.652400016784668,2005-02-23
12.882444381713867,2005-02-24
13.0497465133667,2005-02-25
12.770907402038574,2005-02-28
13.000947952270508,2005-03-01
12.840617179870605,2005-03-02
12.526922225952148,2005-03-03
12.582690238952637,2005-03-04
12.499038696289062,2005-03-07
12.303849220275879,2005-03-08
12.185341835021973,2005-03-09
12.303849220275879,2005-03-10
12.038948059082031,2005-03-11
12.143515586853027,2005-03-14
11.913473129272461,2005-03-15
11.794962882995605,2005-03-16
11.85073184967041,2005-03-17
11.711313247680664,2005-03-18
11.585834503173828,2005-03-21
11.725255012512207,2005-03-22
11.878616333007812,2005-03-23
11.794962882995605,2005-03-24
11.711313247680664,2005-03-28
11.453383445739746,2005-03-29
11.767080307006836,2005-03-30
11.690397262573242,2005-03-31
11.418527603149414,2005-04-01
11.293051719665527,2005-04-04
11.19545841217041,2005-04-05
11.216371536254883,2005-04-06
11.320934295654297,2005-04-07
11.446412086486816,2005-04-08
11.42549991607666,2005-04-11
11.369731903076172,2005-04-12
10.651719093322754,2005-04-13
10.547151565551758,2005-04-14
10.324078559875488,2005-04-15
10.428645133972168,2005-04-18
10.616863250732422,2005-04-19
10.595948219299316,2005-04-20
10.930558204650879,2005-04-21
10.812049865722656,2005-04-22
10.7911376953125,2005-04-25
10.519268035888672,2005-04-26
10.48441219329834,2005-04-27
10.107977867126465,2005-04-28
10.101008415222168,2005-04-29
10.066153526306152,2005-05-02
10.2334566116333,2005-05-03
10.449556350708008,2005-05-04
10.561095237731934,2005-05-05
10.547151565551758,2005-05-06
10.616863250732422,2005-05-09
10.49138355255127,2005-05-10
10.554121017456055,2005-05-11
10.49138355255127,2005-05-12
11.01421070098877,2005-05-13
11.111807823181152,2005-05-16
11.167572975158691,2005-05-17
11.306992530822754,2005-05-18
11.042094230651855,2005-05-19
11.125744819641113,2005-05-20
11.286079406738281,2005-05-23
11.237281799316406,2005-05-24
11.18848705291748,2005-05-25
11.51612377166748,2005-05-26
11.509151458740234,2005-05-27
11.237281799316406,2005-05-31
11.327905654907227,2005-06-01
11.718279838562012,2005-06-02
11.488239288330078,2005-06-03
11.313962936401367,2005-06-06
11.181514739990234,2005-06-07
11.272137641906738,2005-06-08
11.474296569824219,2005-06-09
11.327905654907227,2005-06-10
11.306992530822754,2005-06-13
11.362761497497559,2005-06-14
11.313962936401367,2005-06-15
11.397616386413574,2005-06-16
11.557950973510742,2005-06-17
11.51612377166748,2005-06-20
11.634631156921387,2005-06-21
11.787995338439941,2005-06-22
11.564921379089355,2005-06-23
11.258194923400879,2005-06-24
11.216371536254883,2005-06-27
11.237281799316406,2005-06-28
11.14665699005127,2005-06-29
10.916616439819336,2005-06-30
10.874788284301758,2005-07-01
10.944499015808105,2005-07-05
11.049065589904785,2005-07-06
11.076949119567871,2005-07-07
11.244254112243652,2005-07-08
11.746166229248047,2005-07-11
11.704339981079102,2005-07-12
12.011066436767578,2005-07-13
12.059863090515137,2005-07-14
11.920443534851074,2005-07-15
11.690397262573242,2005-07-18
11.948328971862793,2005-07-19
