MRVL,Date
9.109784126281738,2013-04-04
9.022021293640137,2013-04-05
9.18877124786377,2013-04-08
9.13611125946045,2013-04-09
9.232654571533203,2013-04-10
9.057127952575684,2013-04-11
9.162440299987793,2013-04-12
8.907931327819824,2013-04-15
9.004469871520996,2013-04-16
8.65341567993164,2013-04-17
8.381353378295898,2013-04-18
8.548101425170898,2013-04-19
8.83772087097168,2013-04-22
8.96058464050293,2013-04-23
9.101009368896484,2013-04-24
9.267756462097168,2013-04-25
9.250203132629395,2013-04-26
9.337966918945312,2013-04-29
9.443285942077637,2013-04-30
9.56614875793457,2013-05-01
9.45206069946289,2013-05-02
9.399402618408203,2013-05-03
9.478389739990234,2013-05-06
9.302863121032715,2013-05-07
9.504719734191895,2013-05-08
9.478389739990234,2013-05-09
9.592482566833496,2013-05-10
9.715351104736328,2013-05-13
9.79433536529541,2013-05-14
9.855767250061035,2013-05-15
9.917201042175293,2013-05-16
10.031293869018555,2013-05-17
10.127835273742676,2013-05-20
10.171714782714844,2013-05-21
9.969861030578613,2013-05-22
9.925978660583496,2013-05-23
9.952310562133789,2013-05-24
9.90842342376709,2013-05-28
10.031293869018555,2013-05-29
9.697794914245605,2013-05-30
9.522274017333984,2013-05-31
9.557374000549316,2013-06-03
9.487167358398438,2013-06-04
9.399402618408203,2013-06-05
9.443285942077637,2013-06-06
9.864546775817871,2013-06-07
