BDX,Date
23.549989700317383,1998-05-28
23.46705436706543,1998-05-29
24.026796340942383,1998-06-01
23.695100784301758,1998-06-02
23.93024444580078,1998-06-03
23.9925479888916,1998-06-04
24.387250900268555,1998-06-05
24.574216842651367,1998-06-08
24.20029640197754,1998-06-09
24.594980239868164,1998-06-10
24.55344581604004,1998-06-11
24.137975692749023,1998-06-12
23.93024444580078,1998-06-15
24.574216842651367,1998-06-16
25.405113220214844,1998-06-17
25.0727596282959,1998-06-18
25.280485153198242,1998-06-19
25.508974075317383,1998-06-22
25.322031021118164,1998-06-23
25.342788696289062,1998-06-24
25.114307403564453,1998-06-25
25.259714126586914,1998-06-26
25.986757278442383,1998-06-29
25.7997989654541,1998-06-30
26.381433486938477,1998-07-01
27.087726593017578,1998-07-02
27.316211700439453,1998-07-06
27.150028228759766,1998-07-07
27.7524356842041,1998-07-08
28.396394729614258,1998-07-09
28.417163848876953,1998-07-10
28.12635612487793,1998-07-13
28.666433334350586,1998-07-14
28.62489128112793,1998-07-15
28.957271575927734,1998-07-16
29.04035186767578,1998-07-17
28.6041316986084,1998-07-20
28.04325294494629,1998-07-21
28.583341598510742,1998-07-22
28.3756046295166,1998-07-23
27.81477165222168,1998-07-24
27.77321434020996,1998-07-27
27.503164291381836,1998-07-28
28.12635612487793,1998-07-29
27.77321434020996,1998-07-30
27.46161651611328,1998-07-31
27.295438766479492,1998-08-03
26.36064910888672,1998-08-04
