CB,Date
19.970062255859375,2003-04-07
19.95714569091797,2003-04-08
19.76332664489746,2003-04-09
19.41444969177246,2003-04-10
19.24001121520996,2003-04-11
19.7697811126709,2003-04-14
20.157432556152344,2003-04-15
19.827930450439453,2003-04-16
20.370641708374023,2003-04-17
20.467544555664062,2003-04-21
21.92765998840332,2003-04-22
22.334692001342773,2003-04-23
21.714460372924805,2003-04-24
21.126537322998047,2003-04-25
21.643400192260742,2003-04-28
21.443113327026367,2003-04-29
21.372045516967773,2003-04-30
21.662776947021484,2003-05-01
22.35407829284668,2003-05-02
21.811365127563477,2003-05-05
21.78553009033203,2003-05-06
21.22344398498535,2003-05-07
20.842260360717773,2003-05-08
21.430187225341797,2003-05-09
22.14732551574707,2003-05-12
21.740310668945312,2003-05-13
22.186094284057617,2003-05-14
22.25716781616211,2003-05-15
22.321775436401367,2003-05-16
21.86306381225586,2003-05-19
21.695087432861328,2003-05-20
21.57232666015625,2003-05-21
21.598167419433594,2003-05-22
21.66924285888672,2003-05-23
22.25069808959961,2003-05-27
22.547897338867188,2003-05-28
22.483285903930664,2003-05-29
23.581605911254883,2003-05-30
23.904647827148438,2003-06-02
23.032453536987305,2003-06-03
22.774017333984375,2003-06-04
23.445934295654297,2003-06-05
23.006603240966797,2003-06-06
22.32822608947754,2003-06-09
22.67064666748047,2003-06-10
23.12289810180664,2003-06-11
23.213354110717773,2003-06-12
23.109981536865234,2003-06-13
23.749582290649414,2003-06-16
23.48470687866211,2003-06-17
23.394243240356445,2003-06-18
22.554353713989258,2003-06-19
22.412220001220703,2003-06-20
22.26362419128418,2003-06-23
23.1939640045166,2003-06-24
22.87094497680664,2003-06-25
23.35159683227539,2003-06-26
22.630592346191406,2003-06-27
22.27333641052246,2003-06-30
22.403249740600586,2003-07-01
22.390262603759766,2003-07-02
22.27984046936035,2003-07-03
22.598112106323242,2003-07-07
22.72153663635254,2003-07-08
22.565645217895508,2003-07-09
22.020009994506836,2003-07-10
21.922569274902344,2003-07-11
22.390262603759766,2003-07-14
22.481199264526367,2003-07-15
21.818641662597656,2003-07-16
21.532838821411133,2003-07-17
21.66275978088379,2003-07-18
21.467880249023438,2003-07-21
21.26651954650879,2003-07-22
